@WordPOS	Ag,Bg,Dg,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
一亿八千五百万	m:1,
一介书生	l:4,
一代	q:1,n:328,m:9,
一代人	n:88,
一代代	m:13,
一以贯之	i:24,
一件件	m:34,
一份份	m:6,
一企两制	l:1,
一休	nr:1,nz:1,
一会	t:4,m:18,
一会儿	m:75,
一传	n:3,
一传奖	n:2,
一传手	n:1,
一位位	m:1,
一低	j:1,
一低一高	j:1,
一体	n:188,
一体化	v:111,n:1,vd:1,vn:220,
一体式	b:3,
一体性	n:1,
一体机	n:1,
一侧	f:18,n:3,
一俟	d:5,c:1,
一元	b:3,
一元二次方程	l:1,
一元化	v:1,
一元复始	l:1,
一元性	n:1,
一党制	n:3,
一八	m:1,
一八七八年	t:1,
一八九七年	t:1,
一八九八年	t:6,
一八四○年	t:1,
一八四八年	t:2,
一共	d:43,
一册册	m:2,
一再	d:187,
一准	d:2,
一准儿	d:1,
一减一增	j:1,
一出出	m:1,
一刀两断	i:1,
一刀切	v:35,l:1,vn:2,
一分为二	i:7,
一分为八	l:3,
一分为四	l:1,
一分之差	l:1,
一分耕耘一分收获	l:2,
一分高下	l:1,
一切	b:1,r:1245,
一列列	m:1,
一则	c:13,
一刹那	t:12,
一刻	t:1,n:1,m:77,
一刻钟	t:2,
一剪梅	nz:1,
一副副	m:3,
一办	j:1,
一加强	j:1,
一动不动	l:2,i:1,
一助一	j:1,
一劳永逸	i:11,
一勘局	j:1,
一包包	m:1,
一医大	j:1,
一十三	m:1,
一十五	m:1,
一十八	m:1,
一千	m:87,
一千一万	m:1,
一千一百	m:9,
一千一百一十三	m:1,
一千一百一十三万	m:1,
一千一百七十七	m:1,
一千一百七十万	m:1,
一千一百三十五点五	m:1,
一千一百二十	m:1,
一千一百二十八点二亿	m:1,
一千一百八十一	m:1,
一千一百六十六	m:1,
一千一百零五	m:1,
一千七百	m:1,
一千七百七十一亿	m:1,
一千七百万	m:1,
一千七百五十八	m:1,
一千七百六十	m:1,
一千七百零三	m:1,
一千万	m:13,
一千三四百	m:1,
一千三百	m:9,
一千三百万	m:1,
一千三百九十九亿	m:2,
一千三百二十二	m:1,
一千三百二十五万	m:1,
一千三百二十五亿	m:2,
一千三百五十万	m:1,
一千三百五十九	m:1,
一千三百五十四	m:1,
一千三百八十九	m:1,
一千三百六十	m:2,
一千三百六十九万	m:1,
一千三百四十	m:1,
一千三百四十二点七万	m:1,
一千三百零九点六亿	m:1,
一千九百	m:3,
一千九百一十八点二一亿	m:1,
一千九百万	m:1,
一千九百五十八	m:1,
一千九百八十五	m:1,
一千九百六十	m:1,
一千九百六十三	m:1,
一千二百	m:13,
一千二百一十二	m:1,
一千二百一十六	m:1,
一千二百七十	m:1,
一千二百七十点一五万	m:1,
一千二百万	m:2,
一千二百三十	m:1,
一千二百三十九	m:1,
一千二百三十五	m:1,
一千二百三十八	m:1,
一千二百三十六	m:1,
一千二百九十万	m:1,
一千二百二十五	m:2,
一千二百五十	m:1,
一千二百八十九万	m:1,
一千二百四十一万	m:1,
一千二百四十六	m:1,
一千二百零五	m:1,
一千五百	m:16,
一千五百一十四	m:1,
一千五百万	m:1,
一千五百三十二	m:1,
一千五百五十	m:1,
一千五百五十二	m:1,
一千五百亿	m:1,
一千五百八十六	m:1,
一千五百六十七	m:1,
一千五百六十七点一万	m:1,
一千五百六十五	m:1,
一千五百六十八	m:1,
一千亿	m:4,
一千八百	m:6,
一千八百万	m:1,
一千八百九十	m:1,
一千八百二十七亿	m:1,
一千八百八十二	m:1,
一千八百四十三	m:2,
一千六百	m:9,
一千六百万	m:1,
一千六百九十九	m:1,
一千六百九十二	m:1,
一千六百八十万	m:1,
一千六百六十	m:1,
一千六百六十八	m:1,
一千四百	m:5,
一千四百一十五	m:1,
一千四百万	m:1,
一千四百三十	m:1,
一千四百九十九	m:1,
一千四百二十	m:1,
一千四百亿	m:2,
一千四百八十	m:1,
一千四百六十二	m:1,
一千零一	m:1,
一千零七	m:1,
一千零三十	m:1,
一千零三十五	m:1,
一千零二十	m:2,
一千零二十七	m:1,
一千零五十亿	m:1,
一千零八十三点	t:1,
一千零八十九	m:1,
一千零六十五万	m:1,
一千零四十六	m:1,
一半	m:348,
一半儿	m:2,
一卡通	j:1,
一卷卷	m:1,
一厢情愿	i:7,
一去不复返	l:6,
一去不复返了	l:10,
一去不返	l:3,
一又四分之一	m:3,
一又四分之三	m:3,
一双双	m:27,
一反常态	i:4,
一发	d:1,
一发不可收	l:1,
一发发	m:1,
一发而不可收	l:3,
一发而不可收拾	l:2,
一口口	m:1,
一口吃不成个胖子	l:1,
一口咬定	i:1,
一口气	d:31,n:2,
一古脑儿	l:1,
一句句	m:7,
一句话	l:38,
一只只	m:12,
一台台	m:7,
一叶叶	m:1,
一叶障目	i:1,
一号机	n:1,
一合	nr:1,
一同	d:74,
一吐为快	i:2,
一向	d:122,
一周	t:1,
一味	d:69,m:1,
一呼百应	i:6,
一品	b:7,
一哄而上	i:17,
一哄而起	i:25,
一唱一和	i:1,
一喷三防	j:1,
一四二	m:1,
一四八	m:1,
一四月	t:1,
一团和气	i:5,
一团团	m:3,
一团漆黑	i:1,
一团糟	n:2,
一国一税制	n:1,
一国两制	j:405,
一圈圈	m:2,
一场场	m:4,
一场春梦	i:1,
一块	d:17,s:8,
一块儿	d:9,s:6,
一块块	m:29,
一坛坛	m:1,
一垄垄	m:4,
一型	b:1,
一堂堂	m:1,
一堆堆	m:9,
一塌糊涂	i:4,
一墙之隔	i:4,
一声不吭	l:4,
一声令下	l:7,
一声声	m:8,
一处	m:2,
一处处	m:7,
一多半	m:8,
一夜夜	m:1,
一夜间	t:7,
一大	j:9,
一大二公	l:7,
一大二公三纯	j:1,
一大半	m:8,
一大堆	m:1,
一大家子	l:5,
一大早	t:59,
一大溜	l:1,
一天到晚	l:5,
一天天	m:38,
一夫一妻制	n:1,
一夫多妻制	n:1,
一失足成千古恨	l:1,
一头	f:1,d:31,n:2,m:14,
一头头	m:2,
一套套	m:1,
一如	v:2,
一如既往	i:123,
一如继往	l:1,
一孔之见	i:1,
一字一句	l:1,
一字一顿	l:1,
一字不差	l:1,
一字之差	l:2,
一字排开	l:2,
一季度	t:154,
一孩户	n:3,
一孩生育率	n:1,
一完善	j:6,
一官半职	l:2,
一定	d:1455,b:1103,
一定之规	i:1,
一定会计	n:1,
一定量	n:9,
一审	b:26,n:30,
一家	q:1,n:155,
一家一户	l:17,
一家之言	l:2,
一家亲	nz:1,
一家人	n:7,
一家多机	l:1,
一家子	n:1,
一家家	n:1,m:4,
一家村	ns:1,
一寸	m:2,
一寸寸	m:2,
一对	m:39,
一对一	l:6,
一对对	m:4,
一封封	m:11,
一尊尊	m:1,
一小	j:2,
一小二私	j:1,
一小撮	m:5,
一尘不染	i:11,
一尾尾	m:1,
一局制	n:1,
一层层	m:4,
一届届	m:2,
一展	v:1,
一展才华	l:1,
一展无垠	i:1,
一展歌喉	l:1,
一展身手	l:5,
一展雄姿	l:1,
一展风采	l:6,
一岗双责	j:1,
一己之私利	l:1,
一己官欲	l:1,
一市	j:1,
一帆风顺	i:31,
一带	n:127,m:1,
一带而过	l:1,
一帧帧	m:2,
一席之地	i:38,
一席话	n:19,
一幅幅	m:40,
一幕	m:2,
一幕幕	n:1,m:22,
一幢幢	m:14,
一干	n:1,
一干二净	i:2,
一干打手	l:1,
一年一度	i:75,
一年之计在于春	i:2,
一年到头	l:13,
一年制	b:2,
一年半载	i:4,
一年四季	l:20,
一年年	m:5,
一年期	b:11,n:1,
一年生	b:5,
一并	d:24,
一并了之	l:1,
一应	b:2,
一应俱全	i:22,
一府两院	j:4,
一度	d:243,n:1,m:1,
一座座	m:43,
一建	j:1,
一张张	m:37,
一往情深	i:11,
一往无前	i:12,
一往直前	l:1,i:1,
一律	d:233,a:1,
一得之见	i:1,
一心	d:68,m:1,
一心一意	i:24,
一念之差	i:6,
一怒之下	l:2,
一息尚存	i:3,
一意孤行	i:10,
一成不变	i:19,
一户侯	n:1,
一所所	m:2,
一扇扇	m:4,
一手	d:129,n:12,
一手包办	i:2,
一手手	m:1,
一手点	n:1,
一打打	m:1,
一扫而光	i:5,
一扫而空	i:1,
一扫而过	l:1,
一批	j:1,
一批批	m:25,
一技之长	i:30,
一把	d:1,
一把手	n:147,
一把把	m:4,
一抓到底	l:11,
一抢而光	l:4,
一抢而空	i:3,
一抹抹	m:1,
一担担	m:3,
一拍即合	i:10,
一拖	j:16,
一拖再拖	l:1,
一拖集团	nt:2,
一拖集团公司	nt:1,
一招一式	l:11,
一拥而上	i:6,
一拥而起	l:1,
一拨拨	m:2,
一捆捆	m:2,
一损俱损	l:2,
一捧捧	m:1,
一排排	m:35,
一探	v:1,
一推了之	l:1,
一推双考	j:1,
一掷千金	i:3,
一揽子	q:1,l:42,
一摊摊	m:1,
一摞摞	m:3,
一支支	m:8,
一改了之	l:1,
一放了之	l:3,
一整两反	j:1,
一整天	t:9,m:1,
一整套	m:83,
一文不名	i:1,
一斑	n:2,
一斑窥豹	i:1,
一新	z:1,
一方	r:1,n:11,
一方平安	l:13,
一方方	m:1,
一方有难	l:3,
一方有难八方支援	l:1,
一方水土养一方人	l:1,
一方面	v:1,c:492,n:3,
一旁	f:36,s:4,
一无	d:1,j:3,
一无所有	i:15,
一无所画	l:1,
一无所知	i:13,
一无所获	i:7,
一无所长	i:1,
一无是处	i:3,
一日	t:86,
一日三餐	l:16,
一日之功	l:3,
一日千里	i:5,
一日游	n:1,l:4,
一旦	d:294,c:77,
一早	t:42,
一早儿	t:1,
一时	d:1,t:230,b:1,m:4,
一时一刻	l:1,
一时之困	l:1,
一时间	d:5,t:55,
一星	m:1,
一星半点	i:1,
一星半点儿	m:1,
一是一	i:6,
一是一二是二	i:4,
一显身手	l:3,
一晃	v:4,
一晃儿	d:1,
一曲曲	m:10,
一更新	j:1,
一月	t:226,
一月份	t:9,
一有	j:1,
一望无垠	l:1,i:2,
一望无涯	i:1,
一望无边	i:2,
一望无际	i:13,
一朝	t:12,
一朝一夕	i:13,
一期	b:18,
一期期	m:1,
一本万利	i:2,
一本本	m:4,
一本正经	i:2,
一朵朵	m:6,
一机连	j:1,
一机部	j:17,
一机部上海电器科学研究所	nt:1,
一机部上海第二设计分局电器专业科	nt:1,
一机部农业机械研究所科技处	nt:1,
一机部外事局	nt:1,
一机部机床研究所	nt:1,
一机部机械研究院	nt:1,
一机部机械研究院漯河筹备处	nt:1,
一机部机械科学研究院	nt:1,
一机部武汉热工机械研究所	nt:1,
一机部西安整流器研究所	nt:1,
一机部郑州机械研究所	nt:1,
一杆杆	m:1,
一束束	m:12,
一条心	n:8,
一条条	m:29,
一条龙	n:81,
一来	c:22,
一来二去	i:1,
一板一眼	i:2,
一枚枚	m:4,
一枝独秀	i:11,
一架架	m:3,
一栋栋	m:3,
一树了之	l:1,
一树树	m:2,
一株株	m:8,
一样	u:531,a:522,ad:39,
一样样	m:1,
一根根	m:6,
一档	b:2,
一档档	m:1,
一桥	nz:1,
一桨桨	m:1,
一桩桩	m:7,
一棉	j:4,
一棉厂	j:1,
一棵	m:2,
一棵树上吊死	l:1,
一棵棵	m:12,
一概	d:24,
一概而论	i:8,
一榜	j:1,
一槌定音	i:2,
一模一样	i:5,
一次性	d:66,b:51,
一次次	m:72,
一款款	m:1,
一步一个脚印	l:17,
一步到位	l:5,
一步步	m:42,
一步登天	i:1,
一段	m:1,
一段段	m:4,
一气	u:1,d:5,
一气之下	l:5,
一气呵成	i:6,
一氧化碳	n:18,
一水	b:1,
一水之隔	l:2,
一江之隔	l:3,
一池池	m:1,
一汽	j:57,
一汽人	n:1,
一汽四环	nt:1,
一汽大众汽车有限公司	nt:1,
一汽工具厂	nt:1,
一汽轿车	nt:1,
一汽集团	nt:10,
一汽集团公司	nt:2,
一沓沓	m:2,
一泓泓	m:1,
一波三折	i:9,
一泻千里	i:1,
一泻而下	l:2,
一派	b:94,n:2,
一流	b:340,
一浪高过一浪	l:4,
一清二楚	l:11,
一清早	t:3,
一湾湾	m:1,
一溜	l:1,
一溜儿	l:4,
一溜烟	d:2,
一满意	j:13,
一潭死水	i:2,
一炮打响	l:5,
一点	t:1,q:2,m:488,
一点○二	m:1,
一点○五亿	m:1,
一点一	m:2,
一点一万	m:4,
一点一二亿	m:1,
一点一五亿	m:2,
一点一八万	m:1,
一点一四八亿	m:1,
一点一滴	i:19,
一点一点	m:6,
一点七一亿	m:1,
一点七万	m:2,
一点七三万亿	m:1,
一点七亿	m:2,
一点三	m:2,
一点三万	m:3,
一点三三亿	m:2,
一点三五亿	m:1,
一点三亿	m:1,
一点九	m:1,
一点九万	m:1,
一点二	m:1,
一点二万	m:2,
一点二五万	m:1,
一点二五亿	m:1,
一点二亿	m:3,
一点五	m:3,
一点五万	m:8,
一点五五万	m:1,
一点五亿	m:4,
一点儿	m:27,
一点八三亿	m:1,
一点八五万	m:1,
一点八五四三	m:1,
一点八四七二	m:1,
一点六	m:1,
一点六万	m:2,
一点六八亿	m:1,
一点六六万	m:1,
一点四	m:1,
一点四万	m:5,
一点四四亿	m:1,
一点点	m:30,
一点点儿	m:1,
一点钟	t:1,
一爿爿	m:1,
一片哗然	l:2,
一片汪洋	i:5,
一片片	m:26,
一片狼藉	l:3,
一片生机	l:3,
一版再版	l:1,
一环扣一环	l:1,
一班人	l:102,
一瓣瓣	m:1,
一瓶子不满	l:1,
一生	t:1,n:369,m:3,
一生一世	i:2,
一番	m:294,
一番话	n:13,
一病不起	i:1,
一百	m:337,j:2,
一百一十	m:5,
一百一十一	m:1,
一百一十七	m:1,
一百一十七点七亿	m:1,
一百一十万	m:4,
一百一十三	m:1,
一百一十九	m:2,
一百一十二	m:2,
一百一十五	m:2,
一百一十五万	m:2,
一百一十五点五	m:1,
一百一十亿	m:1,
一百一十八	m:3,
一百一十八万	m:1,
一百一十六	m:4,
一百一十六万	m:1,
一百一十六点五亿	m:1,
一百一十六点六万	m:1,
一百一十四	m:1,
一百一十四点三	m:1,
一百七十	m:6,
一百七十七	m:1,
一百七十七亿	m:1,
一百七十三点六亿	m:1,
一百七十九	m:2,
一百七十五	m:3,
一百七十亿	m:2,
一百七十八	m:1,
一百七十四	m:2,
一百万	m:15,
一百三十	m:11,
一百三十一	m:1,
一百三十一点四五万	m:1,
一百三十七	m:1,
一百三十七亿	m:1,
一百三十万	m:1,
一百三十三点五○	m:1,
一百三十九	m:1,
一百三十九点二○	m:1,
一百三十二	m:1,
一百三十二万	m:1,
一百三十五	m:2,
一百三十五点一○	m:1,
一百三十五点五八亿	m:1,
一百三十八	m:3,
一百三十八万	m:1,
一百三十六	m:1,
一百三十四	m:2,
一百三十四万	m:1,
一百三十点七万	m:1,
一百九十	m:1,
一百九十七	m:1,
一百九十万	m:2,
一百九十三	m:1,
一百九十九	m:2,
一百九十二	m:1,
一百九十五	m:1,
一百九十八	m:1,
一百九十六	m:1,
一百二十	m:21,
一百二十一	m:1,
一百二十七	m:2,
一百二十万	m:10,
一百二十三	m:1,
一百二十二	m:4,
一百二十五	m:3,
一百二十五万	m:1,
一百二十五点五亿	m:1,
一百二十亿	m:1,
一百二十八	m:4,
一百二十八亿	m:1,
一百二十六	m:2,
一百二十六点五亿	m:1,
一百二十六点八亿	m:1,
一百二十四	m:1,
一百二十四点七万	m:1,
一百五六十	m:2,
一百五十	m:34,
一百五十万	m:10,
一百五十万零一百	m:1,
一百五十三	m:4,
一百五十二	m:2,
一百五十八	m:1,
一百五十六	m:4,
一百五十四	m:1,
一百亿	m:6,
一百八十	m:11,
一百八十一	m:1,
一百八十一万	m:1,
一百八十一点四亿	m:1,
一百八十七	m:2,
一百八十七万	m:1,
一百八十七亿	m:1,
一百八十万	m:2,
一百八十三	m:2,
一百八十九	m:3,
一百八十六	m:2,
一百八十四	m:1,
一百六十	m:9,
一百六十一	m:1,
一百六十一个	m:1,
一百六十七	m:2,
一百六十万	m:1,
一百六十九	m:1,
一百六十九点一亿	m:1,
一百六十八	m:1,
一百六十四	m:1,
一百六十四万	m:1,
一百六十四亿	m:1,
一百几十	m:1,
一百单八将	n:3,
一百四五十	m:1,
一百四十	m:11,
一百四十一	m:1,
一百四十一万	m:1,
一百四十万	m:1,
一百四十三	m:1,
一百四十二	m:3,
一百四十八点九万	m:1,
一百四十六点八亿	m:1,
一百四十四	m:4,
一百点○五亿	m:1,
一百零一万	m:1,
一百零七	m:1,
一百零七亿	m:1,
一百零三	m:7,
一百零三万	m:1,
一百零二	m:1,
一百零二万	m:1,
一百零五	m:2,
一百零八	m:3,
一百零八万	m:1,
一百零六	m:4,
一百零六点九亿	m:1,
一百零六点五亿	m:1,
一百零四	m:3,
一百零四点五万	m:1,
一盆盆	m:3,
一盏盏	m:9,
一监督	j:5,
一盘散沙	i:4,
一盘盘	m:2,
一目了然	i:18,
一目十行	i:1,
一目视则不明	l:1,
一直	d:1434,m:2,
一省两地	j:3,
一眼	d:7,
一着不慎	i:1,
一着不慎全盘皆输	i:2,
一睹	v:1,
一睹为快	l:1,
一睹芳容	l:1,
一瞥	n:1,
一瞬	t:13,
一瞬间	t:15,m:2,
一知半解	i:2,
一石	nr:5,
一石击起千层浪	l:1,
一石多鸟	i:1,
一石激起千层浪	l:4,
一石激起千重浪	l:1,
一码事	l:2,
一破了之	l:1,
一碧如洗	l:1,
一神教	n:1,
一票否决制	n:7,
一种	m:2,
一秘	n:1,
一穷二白	i:5,
一窍不通	i:5,
一窝窝	m:1,
一窝蜂	d:11,l:1,
一窥全豹	i:1,
一站式	n:9,
一端	n:8,
一竿子插到底	l:1,
一笑置之	i:3,
一笔勾销	i:3,
一笔带过	l:3,
一笔笔	m:12,
一等	b:11,
一等功	n:53,
一等奖	n:113,
一等舱	n:1,
一筐筐	m:3,
一筹	n:9,
一筹莫展	l:1,i:10,
一箱箱	m:6,
一篇篇	m:14,
一簇簇	m:3,
一米八○	m:1,
一米板	n:1,
一类	b:14,n:1,
一粒粒	m:3,
一级	b:285,
一级品	n:4,
一级级	m:1,
一纸空文	i:4,
一纸空谈	l:1,
一线	b:1,n:110,
一线生机	n:9,
一线线	m:1,
一组组	m:2,
一经	d:53,
一绝	n:1,
一统	v:1,
一统天	l:1,
一统天下	i:13,
一统志	n:1,
一缕缕	m:2,
一网打尽	i:3,
一群群	m:15,
一老一少	l:1,
一而再	l:3,i:3,
一而再再而三	l:1,i:3,
一耳听则不聪	l:1,
一股了之	l:1,
一股就灵	l:3,
一股股	m:5,
一股脑儿	l:4,
一脉相承	i:18,
一脉相通	l:1,
一臂之力	i:7,
一致	an:61,a:499,ad:289,nz:34,
一致性	n:19,
一致药店	nt:3,
一致药店八卦三路分店	nt:1,
一致药店华丽分店	nt:1,
一致药店福华路分店	nt:1,
一般	u:67,an:5,a:505,ad:350,
一般化	v:8,
一般地说	l:4,
一般性	n:23,
一般无二	i:1,
一般来说	l:32,
一般而言	l:4,
一般而论	l:1,
一般说来	l:8,
一艘艘	m:2,
一花独放	i:1,
一花独放不是春	l:1,
一芽芽	m:1,
一茬	m:4,
一茬茬	m:5,
一茶	nr:1,
一草一木	i:6,
一荣俱荣	l:3,
一药	j:9,
一药集团	nt:1,
一落千丈	i:7,
一蓬蓬	m:1,
一虎势单	l:1,
一行	n:601,
一行行	m:6,
一衣带水	i:11,
一衰俱衰	l:1,
一袋袋	m:3,
一见倾心	l:1,i:1,
一见如故	i:5,
一见钟情	i:4,
一视同仁	i:32,
一览	n:4,
一览无余	i:11,
一览无遗	i:2,
一览表	n:17,
一角	n:64,
一触即发	i:12,
一言一行	i:15,
一言不发	i:3,
一言九鼎	i:4,
一言以概之	l:1,
一言以蔽之	l:1,
一言堂	n:7,
一言重九鼎	l:1,
一言难尽	i:3,
一记记	m:1,
一试身手	l:2,
一话	j:1,
