@WordPOS	Ag,Bg,Dg,FREQTWO,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
一件件	m:33,
一份份	m:6,
一企两制	l:1,
一休	nr:1,nz:1,
一会	t:4,m:16,
一会儿	m:68,
一传	n:3,
一传奖	n:2,
一传手	n:1,
一低	j:1,
一低一高	j:1,
一体	n:179,
一体化	v:107,vn:210,n:1,vd:1,
一体式	b:3,
一体性	n:1,
一体机	n:1,
一侧	f:17,n:3,
一俟	c:1,d:4,
一元	b:3,nr:3,
一元二次方程	l:1,
一元化	v:1,
一元复始	l:1,
一元性	n:1,
一光	nr:1,
一党制	n:3,
一八	m:1,
一八七八年	t:1,
一八九七年	t:1,
一八九八年	t:5,
一八四○年	t:1,
一八四八年	t:2,
一共	d:41,
一兵	nr:4,
一册册	m:2,
一再	d:180,
一军	nr:2,
一农	nr:1,
一准	d:2,
一准儿	d:1,
一减一增	j:1,
一凡	nr:2,
一出出	m:1,
一刀两断	i:1,
一刀切	v:34,vn:1,l:1,
一分为二	i:7,
一分为八	l:2,
一分为四	l:1,
一分之差	l:1,
一分耕耘一分收获	l:2,
一分高下	l:1,
一切	r:1170,b:1,
一列列	m:1,
一则	c:12,
一刚	nr:1,
一刹那	t:11,
一刻	t:1,m:76,n:1,
一刻钟	t:2,
一剪梅	nz:1,
一副副	m:2,
一力	nr:1,
一办	j:1,
一加强	j:1,
一动不动	i:1,l:2,
一助一	j:1,
一劳永逸	i:11,
一勘局	j:1,
一包包	m:1,
一医大	j:1,
一十三	m:1,
一十五	m:1,
一千	m:82,
一千一万	m:1,
一千一百	m:9,
一千一百一十三	m:1,
一千一百一十三万	m:1,
一千一百七十七	m:1,
一千一百七十万	m:1,
一千一百三十五点五	m:1,
一千一百二十	m:1,
一千一百二十八点二亿	m:1,
一千一百八十一	m:1,
一千一百六十六	m:1,
一千一百零五	m:1,
一千七百	m:1,
一千七百七十一亿	m:1,
一千七百万	m:1,
一千七百五十八	m:1,
一千七百六十	m:1,
一千七百零三	m:1,
一千万	m:13,
一千三四百	m:1,
一千三百	m:9,
一千三百万	m:1,
一千三百九十九亿	m:2,
一千三百二十二	m:1,
一千三百二十五万	m:1,
一千三百二十五亿	m:2,
一千三百五十万	m:1,
一千三百五十九	m:1,
一千三百五十四	m:1,
一千三百八十九	m:1,
一千三百六十	m:2,
一千三百六十九万	m:1,
一千三百四十	m:1,
一千三百四十二点七万	m:1,
一千三百零九点六亿	m:1,
一千九百	m:2,
一千九百一十八点二一亿	m:1,
一千九百万	m:1,
一千九百五十八	m:1,
一千九百六十	m:1,
一千九百六十三	m:1,
一千二百	m:13,
一千二百一十二	m:1,
一千二百一十六	m:1,
一千二百七十	m:1,
一千二百七十点一五万	m:1,
一千二百万	m:2,
一千二百三十	m:1,
一千二百三十九	m:1,
一千二百三十五	m:1,
一千二百三十八	m:1,
一千二百九十万	m:1,
一千二百二十五	m:1,
一千二百五十	m:1,
一千二百八十九万	m:1,
一千二百四十一万	m:1,
一千二百四十六	m:1,
一千二百零五	m:1,
一千五百	m:16,
一千五百一十四	m:1,
一千五百万	m:1,
一千五百三十二	m:1,
一千五百五十	m:1,
一千五百五十二	m:1,
一千五百亿	m:1,
一千五百八十六	m:1,
一千五百六十七	m:1,
一千五百六十七点一万	m:1,
一千五百六十五	m:1,
一千五百六十八	m:1,
一千亿	m:4,
一千八百	m:6,
一千八百万	m:1,
一千八百九十	m:1,
一千八百二十七亿	m:1,
一千八百八十二	m:1,
一千八百四十三	m:2,
一千六百	m:8,
一千六百万	m:1,
一千六百九十九	m:1,
一千六百九十二	m:1,
一千六百八十万	m:1,
一千六百六十	m:1,
一千六百六十八	m:1,
一千四百	m:5,
一千四百一十五	m:1,
一千四百万	m:1,
一千四百三十	m:1,
一千四百九十九	m:1,
一千四百二十	m:1,
一千四百亿	m:2,
一千四百八十	m:1,
一千四百六十二	m:1,
一千零一	m:1,
一千零七	m:1,
一千零三十	m:1,
一千零三十五	m:1,
一千零二十	m:2,
一千零二十七	m:1,
一千零五十亿	m:1,
一千零八十三点	t:1,
一千零八十九	m:1,
一千零六十五万	m:1,
一千零四十六	m:1,
一半	m:330,
一半儿	m:2,
一卡通	j:1,
一卷卷	m:1,
一厢情愿	i:7,
一去不复返	l:6,
一去不复返了	l:10,
一去不返	l:3,
一又四分之一	m:3,
一又四分之三	m:3,
一双双	m:27,
一反常态	i:3,
一发	d:1,
一发不可收	l:1,
一发发	m:1,
一发而不可收	l:3,
一发而不可收拾	l:2,
一口口	m:1,
一口吃不成个胖子	l:1,
一口咬定	i:1,
一口气	d:28,n:2,
一古脑儿	l:1,
一句句	m:7,
一句话	l:37,
一只只	m:12,
一台台	m:7,
一叶叶	m:1,
一叶障目	i:1,
一号机	n:1,
一合	nr:1,
一同	d:71,
一吐为快	i:2,
一向	d:114,
一周	t:1,
一味	d:67,m:1,
一呼百应	i:5,
一品	b:7,
一哄而上	i:17,
一哄而起	i:24,
一唱一和	i:1,
一喷三防	j:1,
一四二	m:1,
一四八	m:1,
一四月	t:1,
一团和气	i:5,
一团团	m:3,
一团漆黑	i:1,
一团糟	n:1,
一国一税制	n:1,
一国两制	j:385,
一圈圈	m:2,
一场场	m:4,
一场春梦	i:1,
一块	s:8,d:17,
一块儿	s:6,d:9,
一块块	m:27,
一坚	nr:1,
一坤	nr:1,
一垄垄	m:3,
一型	b:1,
一堂堂	m:1,
一堆堆	m:9,
一塌糊涂	i:4,
一墙之隔	i:4,
一声不吭	l:4,
一声令下	l:7,
一声声	m:8,
一处	m:2,
一处处	m:7,
一多	nr:5,
一多半	m:8,
一夜夜	m:1,
一夜间	t:7,
一大	j:9,
一大二公	l:7,
一大二公三纯	j:1,
一大半	m:8,
一大堆	m:1,
一大家子	l:5,
一大早	t:57,
一大溜	l:1,
一天到晚	l:5,
一天天	m:36,
一夫	nr:2,
一夫一妻制	n:1,
一夫多妻制	n:1,
一失足成千古恨	l:1,
一头	d:29,f:1,m:13,n:2,
一头头	m:2,
一套套	m:1,
一如	v:2,
一如既往	i:120,
一如继往	l:1,
一孔之见	i:1,
一字一句	l:1,
一字一顿	l:1,
一字不差	l:1,
一字之差	l:2,
一字排开	l:2,
一季度	t:149,
一孩户	n:3,
一孩生育率	n:1,
一完善	j:6,
一官半职	l:2,
一定	b:1057,d:1367,
一定之规	i:1,
一定会计	n:1,
一定量	n:8,
一审	b:22,n:30,
一家	q:1,n:148,
一家一户	l:15,
一家之言	l:2,
一家亲	nz:1,
一家人	n:5,
一家多机	l:1,
一家子	n:1,
一家家	m:4,n:1,
一家村	ns:1,
一寸	m:2,
一寸寸	m:2,
一对	m:38,
一对一	l:5,
一对对	m:4,
一封封	m:10,
一尊尊	m:1,
一小	j:2,
一小二私	j:1,
一小撮	m:5,
一尘不染	i:10,
一尾尾	m:1,
一局制	n:1,
一层层	m:3,
一届届	m:2,
一展	v:1,
一展才华	l:1,
一展无垠	i:1,
一展歌喉	l:1,
一展身手	l:3,
一展雄姿	l:1,
一展风采	l:6,
一岗双责	j:1,
一峰	nr:1,
一川	nr:2,
一工	nr:1,
一己之私利	l:1,
一己官欲	l:1,
一市	j:1,
一帆风顺	i:26,
一带	m:1,n:121,
一带而过	l:1,
一帧帧	m:2,
一席之地	i:34,
一席话	n:18,
一幅幅	m:39,
一幕	m:2,
一幕幕	m:21,n:1,
一幢幢	m:14,
一干	n:1,
一干二净	i:2,
一干打手	l:1,
一平	nr:3,
一年一度	i:71,
一年之计在于春	i:2,
一年到头	l:12,
一年制	b:2,
一年半载	i:4,
一年四季	l:18,
一年年	m:4,
一年期	b:11,n:1,
一年生	b:5,
一并	d:23,
一并了之	l:1,
一应	b:2,
一应俱全	i:21,
一府两院	j:4,
一度	d:226,m:1,n:1,
一座座	m:42,
一建	j:1,
一张张	m:36,
一往情深	i:11,
一往无前	i:11,
一往直前	i:1,l:1,
一律	a:1,d:212,
一得之见	i:1,
一德	nr:1,
一心	d:64,m:1,
一心一意	i:19,
一念之差	i:5,
一怒之下	l:2,
一息尚存	i:3,
一意孤行	i:10,
一成不变	i:17,
一户侯	n:1,
一所所	m:2,
一扇扇	m:3,
一手	d:125,n:8,
一手包办	i:2,
一手手	m:1,
一手点	n:1,
一打打	m:1,
一扫而光	i:4,
一扫而空	i:1,
一扫而过	l:1,
一批	j:1,
一批批	m:24,
一技之长	i:30,
一把	d:1,
一把手	n:138,
一把把	m:4,
一抓到底	l:11,
一抢而光	l:4,
一抢而空	i:3,
一抹抹	m:1,
一担担	m:3,
一拍即合	i:9,
一拖	j:16,
一拖再拖	l:1,
一招一式	l:11,
一拥而上	i:6,
一拥而起	l:1,
一拨拨	m:2,
一捆捆	m:2,
一损俱损	l:2,
一捧捧	m:1,
一排排	m:32,
一探	v:1,
一推了之	l:1,
一推双考	j:1,
一掷千金	i:3,
一揽子	q:1,l:37,
一摊摊	m:1,
一摞摞	m:3,
一支支	m:8,
一改了之	l:1,
一放了之	l:3,
一整两反	j:1,
一整天	t:9,m:1,
一整套	m:79,
一文不名	i:1,
一斌	nr:1,
一斑	n:2,
一斑窥豹	i:1,
一新	nr:3,
一方	r:1,n:10,
一方平安	l:12,
一方方	m:1,
一方有难	l:3,
一方水土养一方人	l:1,
一方面	c:462,v:1,n:3,
一旁	s:4,f:35,
一无	d:1,j:3,
一无所有	i:14,
一无所画	l:1,
一无所知	i:12,
一无所获	i:7,
一无所长	i:1,
一无是处	i:3,
一日	t:75,
一日三餐	l:16,
一日之功	l:2,
一日千里	i:4,
一日游	l:4,n:1,
一旦	c:76,d:280,
一早	t:40,
一早儿	t:1,
一时	b:1,t:213,d:1,m:4,
一时一刻	l:1,
一时之困	l:1,
一时间	d:4,t:50,
一明	nr:3,
一星	m:1,
一星半点	i:1,
一星半点儿	m:1,
一是一	i:6,
一显身手	l:2,
一晃	v:4,
一晃儿	d:1,
一曲曲	m:10,
一更新	j:1,
一月	t:212,
一月份	t:8,
一有	j:1,
一望无垠	i:2,l:1,
一望无涯	i:1,
一望无边	i:2,
一望无际	i:13,
一朝	t:12,
一朝一夕	i:12,
一期	b:16,
一期期	m:1,
一本万利	i:1,
一本本	m:4,
一本正经	i:2,
一朵朵	m:5,
一机连	j:1,
一机部	j:16,
一杆杆	m:1,
一束束	m:11,
一条心	n:7,
一条条	m:28,
一条龙	n:76,
一来	c:22,
一来二去	i:1,
一板一眼	i:2,
一枚枚	m:4,
一枝独秀	i:10,
一架架	m:2,
一栋栋	m:3,
一树了之	l:1,
一树树	m:2,
一株株	m:7,
一样	a:490,ad:36,u:515,
一样样	m:1,
一根根	m:5,
一桃	nr:1,
一档	b:2,
一档档	m:1,
一桩桩	m:6,
一梅	nr:1,
一棉	j:4,
一棉厂	j:1,
一棵	m:2,
一棵棵	m:12,
一楚	nr:1,
一概	d:24,
一概而论	i:8,
一榜	j:1,
一槌定音	i:2,
一模一样	i:5,
一次性	b:50,d:65,
一次次	m:70,
一款款	m:1,
一步一个脚印	l:17,
一步到位	l:5,
一步步	m:39,
一步登天	i:1,
一段	m:1,
一段段	m:4,
一民	nr:3,
一氓	nr:1,
一气	d:5,u:1,
一气之下	l:4,
一气呵成	i:5,
一氧化碳	n:16,
一水	b:1,
一水之隔	l:1,
一江之隔	l:3,
一池池	m:1,
一汽	j:56,
一汽人	n:1,
一沓沓	m:2,
一泓泓	m:1,
一波	nr:41,
一波三折	i:9,
一泻千里	i:1,
一泻而下	l:2,
一派	b:89,n:2,
一流	b:323,
一浪高过一浪	l:4,
一浮	nr:1,
一清	nr:1,
一清二楚	l:11,
一清早	t:3,
一渤	nr:1,
一湾湾	m:1,
一溜	l:1,
一溜儿	l:4,
一溜烟	d:2,
一满意	j:11,
一潭死水	i:2,
一炮打响	l:5,
一点	q:2,t:1,m:464,
一点○二	m:1,
一点○五亿	m:1,
一点一	m:2,
一点一万	m:4,
一点一二亿	m:1,
一点一五亿	m:2,
一点一八万	m:1,
一点一四八亿	m:1,
一点一滴	i:19,
一点一点	m:6,
一点七一亿	m:1,
一点七万	m:2,
一点七三万亿	m:1,
一点七亿	m:1,
一点三	m:2,
一点三万	m:3,
一点三三亿	m:2,
一点三五亿	m:1,
一点三亿	m:1,
一点九	m:1,
一点九万	m:1,
一点二	m:1,
一点二万	m:2,
一点二五万	m:1,
一点二五亿	m:1,
一点二亿	m:3,
一点五	m:3,
一点五万	m:7,
一点五五万	m:1,
一点五亿	m:4,
一点儿	m:25,
一点八三亿	m:1,
一点八五万	m:1,
一点八五四三	m:1,
一点八四七二	m:1,
一点六	m:1,
一点六万	m:2,
一点六八亿	m:1,
一点六六万	m:1,
一点四	m:1,
一点四万	m:4,
一点四四亿	m:1,
一点点	m:29,
一点点儿	m:1,
一点钟	t:1,
一爿爿	m:1,
一片哗然	l:2,
一片汪洋	i:5,
一片片	m:26,
一片狼藉	l:3,
一片生机	l:3,
一版再版	l:1,
一环扣一环	l:1,
一班人	l:100,
一瓣瓣	m:1,
一瓶子不满	l:1,
一生	t:1,m:3,n:349,
一生一世	i:2,
一男	nr:3,
一番	m:283,
一番话	n:12,
一病不起	i:1,
一百	j:2,m:323,
一百一十	m:5,
一百一十一	m:1,
一百一十七	m:1,
一百一十七点七亿	m:1,
一百一十万	m:4,
一百一十三	m:1,
一百一十九	m:2,
一百一十二	m:1,
一百一十五	m:2,
一百一十五万	m:2,
一百一十五点五	m:1,
一百一十亿	m:1,
一百一十八	m:3,
一百一十八万	m:1,
一百一十六	m:4,
一百一十六万	m:1,
一百一十六点五亿	m:1,
一百一十六点六万	m:1,
一百一十四	m:1,
一百一十四点三	m:1,
一百七十	m:5,
一百七十七	m:1,
一百七十七亿	m:1,
一百七十三点六亿	m:1,
一百七十九	m:2,
一百七十五	m:3,
一百七十亿	m:1,
一百七十八	m:1,
一百七十四	m:2,
一百万	m:15,
一百三十	m:10,
一百三十一	m:1,
一百三十一点四五万	m:1,
一百三十七	m:1,
一百三十七亿	m:1,
一百三十万	m:1,
一百三十三点五○	m:1,
一百三十九	m:1,
一百三十九点二○	m:1,
一百三十二	m:1,
一百三十二万	m:1,
一百三十五	m:2,
一百三十五点一○	m:1,
一百三十五点五八亿	m:1,
一百三十八	m:3,
一百三十八万	m:1,
一百三十六	m:1,
一百三十四	m:2,
一百三十四万	m:1,
一百三十点七万	m:1,
一百九十	m:1,
一百九十七	m:1,
一百九十万	m:2,
一百九十三	m:1,
一百九十九	m:1,
一百九十五	m:1,
一百九十八	m:1,
一百九十六	m:1,
一百二十	m:19,
一百二十一	m:1,
一百二十七	m:2,
一百二十万	m:10,
一百二十三	m:1,
一百二十二	m:4,
一百二十五	m:3,
一百二十五万	m:1,
一百二十五点五亿	m:1,
一百二十亿	m:1,
一百二十八	m:4,
一百二十八亿	m:1,
一百二十六	m:2,
一百二十六点五亿	m:1,
一百二十六点八亿	m:1,
一百二十四	m:1,
一百二十四点七万	m:1,
一百五六十	m:2,
一百五十	m:32,
一百五十万	m:10,
一百五十万零一百	m:1,
一百五十三	m:4,
一百五十二	m:2,
一百五十八	m:1,
一百五十六	m:4,
一百五十四	m:1,
一百亿	m:5,
一百八十	m:11,
一百八十一	m:1,
一百八十一万	m:1,
一百八十一点四亿	m:1,
一百八十七	m:2,
一百八十七万	m:1,
一百八十七亿	m:1,
一百八十万	m:2,
一百八十三	m:2,
一百八十九	m:2,
一百八十六	m:2,
一百八十四	m:1,
一百六十	m:8,
一百六十一	m:1,
一百六十一个	m:1,
一百六十七	m:1,
一百六十万	m:1,
一百六十九点一亿	m:1,
一百六十八	m:1,
一百六十四	m:1,
一百六十四万	m:1,
一百六十四亿	m:1,
一百几十	m:1,
一百单八将	n:3,
一百四五十	m:1,
一百四十	m:11,
一百四十一	m:1,
一百四十一万	m:1,
一百四十万	m:1,
一百四十三	m:1,
一百四十二	m:3,
一百四十八点九万	m:1,
一百四十六点八亿	m:1,
一百四十四	m:4,
一百点○五亿	m:1,
一百零一万	m:1,
一百零七	m:1,
一百零七亿	m:1,
一百零三	m:7,
一百零三万	m:1,
一百零二	m:1,
一百零二万	m:1,
一百零五	m:2,
一百零八	m:3,
一百零八万	m:1,
一百零六	m:4,
一百零六点九亿	m:1,
一百零六点五亿	m:1,
一百零四	m:3,
一百零四点五万	m:1,
一盆盆	m:3,
一盏盏	m:9,
一监督	j:5,
一盘散沙	i:4,
一盘盘	m:2,
一目了然	i:17,
一目十行	i:1,
一目视则不明	l:1,
一直	d:1368,m:2,
一省两地	j:3,
一眼	d:7,
一着不慎	i:1,
一着不慎全盘皆输	i:2,
一睹	v:1,
一睹为快	l:1,
一睹芳容	l:1,
一瞥	n:1,
一瞬	t:12,
一瞬间	t:15,m:2,
一知半解	i:2,
一石	nr:5,
一石击起千层浪	l:1,
一石多鸟	i:1,
一石激起千层浪	l:4,
一石激起千重浪	l:1,
一码事	l:2,
一破了之	l:1,
一碧如洗	l:1,
一神教	n:1,
一祥	nr:1,
一票否决制	n:6,
一秋	nr:3,
一种	m:2,
一穷二白	i:5,
一窍不通	i:5,
一窝窝	m:1,
一窝蜂	d:10,l:1,
一站式	n:8,
一端	n:8,
一竿子插到底	l:1,
一笑置之	i:3,
一笔勾销	i:2,
一笔带过	l:3,
一笔笔	m:12,
一等	b:10,
一等功	n:50,
一等奖	n:110,
一等舱	n:1,
一筐筐	m:3,
一筹	n:7,
一筹莫展	i:10,l:1,
一箱箱	m:5,
一篇篇	m:12,
一簇簇	m:3,
一米八○	m:1,
一米板	n:1,
一类	b:14,n:1,
一粒粒	m:3,
一级	b:275,
一级品	n:4,
一级级	m:1,
一纸空文	i:4,
一纸空谈	l:1,
一线	b:1,n:98,
一线生机	n:9,
一线线	m:1,
一组组	m:2,
一经	d:53,
一绝	n:1,
一统天	l:1,
一统天下	i:12,
一统志	n:1,
一缕缕	m:2,
一网打尽	i:3,
一群群	m:15,
一羽	nr:1,
一老一少	l:1,
一而再	i:3,l:3,
一耳听则不聪	l:1,
一股了之	l:1,
一股就灵	l:3,
一股股	m:5,
一股脑儿	l:4,
一脉相承	i:17,
一脉相通	l:1,
一臂之力	i:5,
一致	a:480,ad:271,nz:33,an:59,
一致性	n:18,
一般	a:482,ad:338,u:62,an:5,
一般化	v:8,
一般地说	l:4,
一般性	n:22,
一般无二	i:1,
一般来说	l:32,
一般而言	l:4,
一般而论	l:1,
一般说来	l:7,
一艘艘	m:2,
一良	nr:6,
一花独放	i:1,
一花独放不是春	l:1,
一芽芽	m:1,
一茬	m:4,
一茬茬	m:5,
一茶	nr:1,
一草一木	i:6,
一荣俱荣	l:3,
一药	j:9,
一落千丈	i:7,
一蓬蓬	m:1,
一虎势单	l:1,
一虹	nr:1,
一行	n:575,
一行行	m:5,
一衣带水	i:10,
一衰俱衰	l:1,
一袋袋	m:3,
一见倾心	i:1,l:1,
一见如故	i:5,
一见钟情	i:4,
一视同仁	i:31,
一览	n:4,
一览无余	i:10,
一览无遗	i:2,
一览表	n:17,
一角	n:61,
一触即发	i:12,
一言一行	i:15,
一言不发	i:3,
一言九鼎	i:4,
一言以概之	l:1,
一言以蔽之	l:1,
一言堂	n:7,
一言重九鼎	l:1,
一言难尽	i:2,
一记记	m:1,
一试身手	l:2,
一话	j:1,
一语中的	l:4,
一语惊人	i:3,
一语破的	l:1,
一语道破	i:8,
一误再误	i:1,
一诺千金	i:2,
一诺重千金	l:1,
一败涂地	i:4,
一贫如洗	i:5,
一贯	a:1,b:66,d:158,v:1,
一贯制	l:2,n:4,
一贯性	n:4,
一走了之	l:6,
一起	s:953,d:399,
一超	j:3,
一趟趟	m:3,
一跃	v:2,
一跃而起	l:1,
一路	d:3,m:126,n:1,
一路上	l:11,
一路顺风	i:9,
一路风尘	l:4,
一蹴而就	i:14,
一蹶不振	i:3,
一身	m:1,n:43,
一身正气	l:18,
一车车	m:6,
